imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.03, 0.03",1,1,0,0,2,8,1320
"0.03, 0.04",1,1,0,0,2,8,1330
"0.03, 0.05",1,1,0,0,2,6,1350
"0.03, 0.06",1,2,0,0,2,6,1340
"0.03, 0.07",1,1,0,0,2,8,1330
"0.03, 0.08",1,1,0,0,2,8,1250
"0.03, 0.09",1,1,0,0,2,8,1250
"0.03, 0.10",1,1,0,0,2,8,1250
"0.03, 0.11",1,1,0,0,2,8,1250
"0.03, 0.12",1,1,0,0,2,8,1250
"0.03, 0.13",1,1,0,0,2,8,1250
"0.03, 0.14",1,1,0,0,2,8,1250
"0.03, 0.15",1,1,0,0,2,8,1250
"0.03, 0.16",1,1,0,0,2,8,1250
"0.03, 0.17",1,1,0,0,2,8,1250
"0.03, 0.18",1,1,0,0,2,8,1250
"0.03, 0.19",1,1,0,0,2,8,1250
"0.03, 0.20",1,1,0,0,2,8,1250
"0.03, 0.21",1,1,0,0,2,8,1250
"0.03, 0.22",1,1,0,0,2,8,1250
"0.03, 0.23",1,1,0,0,2,8,1250
"0.03, 0.24",1,1,0,0,2,8,1250
"0.03, 0.25",1,1,0,0,2,8,1250
"0.03, 0.26",1,1,0,0,2,8,1250
"0.03, 0.27",1,1,0,0,2,8,1250
"0.03, 0.28",1,1,0,0,2,8,1250
"0.03, 0.29",1,1,0,0,2,8,1250
"0.03, 0.30",1,1,0,0,2,8,1250
"0.03, 0.31",1,1,0,0,2,8,1250
"0.03, 0.32",1,1,0,0,2,8,1250
"0.03, 0.33",1,1,0,0,2,8,1250
"0.03, 0.34",1,1,0,0,2,7,1330
"0.03, 0.35",1,1,0,0,2,8,1330
"0.03, 0.36",1,1,0,0,2,8,1250
"0.03, 0.37",1,1,0,0,2,8,1330
"0.03, 0.38",1,2,0,0,2,7,1340
"0.03, 0.39",1,1,0,0,2,8,1330
"0.03, 0.40",1,1,0,0,2,8,1330
"0.04, 0.00",1,2,0,0,2,6,1420
"0.04, 0.01",1,2,0,0,2,6,1340
"0.04, 0.02",1,2,0,0,2,6,1330
"0.04, 0.03",1,1,0,0,2,8,1280
"0.04, 0.04",1,1,0,0,2,8,1300
"0.04, 0.05",1,1,0,0,2,9,1280
"0.04, 0.06",1,1,0,0,2,7,1250
"0.04, 0.07",1,1,0,0,2,7,1300
"0.04, 0.08",1,1,0,0,2,7,1300
"0.04, 0.09",1,1,0,0,2,7,1300
"0.04, 0.10",1,1,0,0,2,7,1300
"0.04, 0.11",1,1,0,0,2,7,1300
"0.04, 0.12",1,1,0,0,2,7,1300
"0.04, 0.13",1,1,0,0,2,7,1300
"0.04, 0.14",1,1,0,0,2,7,1300
"0.04, 0.15",1,1,0,0,2,7,1300
"0.04, 0.16",1,1,0,0,2,7,1300
"0.04, 0.17",1,1,0,0,2,7,1300
"0.04, 0.18",1,1,0,0,2,7,1300
"0.04, 0.19",1,1,0,0,2,7,1300
"0.04, 0.20",1,1,0,0,2,7,1300
"0.04, 0.21",1,1,0,0,2,7,1300
"0.04, 0.22",1,1,0,0,2,7,1300
"0.04, 0.23",1,1,0,0,2,7,1300
"0.04, 0.24",1,1,0,0,2,7,1300
"0.04, 0.25",1,1,0,0,2,7,1360
