0, 63, 14, 60, 39, 17, 47, 26, 68
1, 57, 38, 30, 55, 35, 41, 36, 87
2, 52, 21, 56, 61, 30, 58, 42, 94
3, 61, 39, 50, 38, 40, 39, 32, 97
4, 30, 21, 62, 60, 28, 54, 47, 98
5, 57, 28, 62, 31, 17, 51, 45, 99
6, 60, 17, 52, 35, 50, 43, 36, 99
7, 43, 29, 55, 65, 26, 52, 42, 99
8, 56, 17, 61, 57, 36, 53, 36, 99
9, 66, 23, 64, 49, 27, 51, 20, 99
10, 33, 15, 63, 49, 37, 65, 36, 99
11, 52, 41, 60, 60, 25, 32, 22, 99
12, 55, 22, 52, 59, 44, 64, 38, 99
13, 54, 29, 60, 62, 23, 38, 44, 99
14, 61, 17, 48, 45, 46, 49, 30, 99
15, 57, 27, 57, 57, 24, 53, 44, 99
16, 56, 16, 63, 51, 39, 59, 32, 99
17, 62, 35, 63, 58, 22, 39, 18, 99
18, 50, 20, 60, 51, 38, 62, 42, 99
19, 65, 26, 36, 51, 26, 57, 39, 99
20, 53, 32, 46, 46, 43, 44, 27, 99
21, 57, 18, 39, 59, 26, 62, 46, 99
22, 62, 31, 53, 39, 35, 53, 24, 99
23, 30, 23, 62, 57, 29, 50, 48, 99
24, 48, 30, 61, 43, 17, 53, 45, 99
25, 46, 18, 47, 59, 44, 51, 39, 99
26, 60, 40, 50, 48, 24, 34, 37, 99
27, 49, 22, 57, 55, 43, 62, 41, 99
28, 56, 28, 60, 64, 23, 40, 36, 99
29, 38, 19, 60, 50, 38, 54, 35, 99
30, 58, 31, 30, 57, 26, 51, 39, 99
31, 49, 18, 63, 56, 35, 50, 27, 99
32, 50, 26, 51, 56, 22, 45, 40, 99
33, 56, 16, 58, 53, 38, 45, 31, 99
34, 39, 25, 62, 60, 21, 54, 33, 99
35, 58, 16, 56, 58, 37, 55, 19, 99
36, 57, 32, 28, 46, 31, 53, 47, 99
37, 51, 18, 61, 50, 31, 59, 30, 99
38, 50, 29, 50, 42, 28, 55, 38, 99
39, 47, 17, 60, 47, 36, 55, 32, 99
40, 53, 42, 63, 51, 24, 44, 18, 99
41, 62, 22, 39, 53, 39, 63, 51, 99
42, 58, 27, 58, 62, 22, 43, 32, 99
43, 69, 16, 31, 54, 36, 64, 39, 99
44, 42, 22, 59, 57, 25, 58, 31, 99
45, 60, 17, 41, 28, 39, 62, 42, 99
46, 48, 31, 59, 65, 21, 45, 22, 99
47, 48, 18, 59, 42, 45, 57, 41, 99
48, 43, 34, 52, 54, 24, 61, 39, 99
49, 55, 19, 56, 51, 42, 61, 40, 99
50, 58, 28, 45, 64, 28, 42, 35, 99
51, 61, 17, 34, 47, 34, 60, 41, 99
52, 46, 35, 58, 62, 25, 34, 31, 99
53, 55, 20, 57, 57, 41, 59, 37, 99
54, 49, 28, 57, 61, 25, 45, 37, 99
55, 49, 21, 60, 36, 40, 47, 39, 99
56, 38, 27, 51, 54, 22, 61, 37, 99
57, 56, 16, 57, 43, 44, 54, 32, 99
58, 50, 24, 51, 61, 23, 45, 41, 99
59, 53, 18, 44, 55, 41, 48, 31, 99
60, 33, 29, 60, 53, 22, 49, 41, 99
61, 58, 17, 55, 60, 35, 43, 28, 99
