imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.03, 0.03",0,0,0,1,2,0,3240
"0.03, 0.04",0,0,0,1,2,0,3220
"0.03, 0.05",0,0,0,1,2,0,3180
"0.03, 0.06",0,0,0,1,2,0,2860
"0.03, 0.07",0,0,0,1,2,0,2840
"0.03, 0.08",0,0,0,1,2,0,2780
"0.03, 0.09",0,0,0,1,2,0,2720
"0.03, 0.10",0,0,0,1,2,0,2740
"0.03, 0.11",1,1,0,1,2,6,2880
"0.03, 0.12",1,1,0,1,2,5,2760
"0.03, 0.13",1,1,0,1,2,6,2820
"0.03, 0.14",1,1,0,1,2,6,2820
"0.03, 0.15",0,0,0,1,2,0,2720
"0.03, 0.16",0,0,0,1,2,0,2720
"0.03, 0.17",0,0,0,1,2,0,2720
"0.03, 0.18",0,0,0,1,2,0,2720
"0.03, 0.19",0,0,0,1,2,0,2720
"0.03, 0.20",0,0,0,1,2,0,2720
"0.03, 0.21",0,0,0,1,2,0,2720
"0.03, 0.22",0,0,0,1,2,0,2720
"0.03, 0.23",0,0,0,1,2,0,2720
"0.03, 0.24",0,0,0,1,2,0,2720
"0.03, 0.25",0,0,0,1,2,0,2720
"0.03, 0.26",0,0,0,1,2,0,2720
"0.03, 0.27",0,0,0,1,2,0,2720
"0.03, 0.28",0,0,0,1,2,0,2720
"0.03, 0.29",0,0,0,1,2,0,2720
"0.03, 0.30",0,0,0,1,2,0,2720
"0.03, 0.31",0,0,0,1,2,0,2720
"0.03, 0.32",0,0,0,1,2,0,2720
"0.03, 0.33",0,0,0,1,2,0,2720
"0.03, 0.34",0,0,0,1,2,0,2720
"0.03, 0.35",0,0,0,1,2,0,2720
"0.03, 0.36",0,0,0,1,2,0,2720
"0.03, 0.37",0,0,0,1,2,0,2720
"0.03, 0.38",0,0,0,1,2,0,2720
"0.03, 0.39",0,0,0,1,2,0,2720
"0.03, 0.40",0,0,0,1,2,0,2720
"0.04, 0.00",1,1,0,1,2,5,3360
"0.04, 0.01",0,0,0,1,2,0,3200
"0.04, 0.02",0,0,0,1,2,0,3200
"0.04, 0.03",0,0,0,1,2,0,3200
"0.04, 0.04",0,0,0,1,2,0,2960
"0.04, 0.05",0,0,0,1,2,0,3020
"0.04, 0.06",0,0,0,1,2,0,2920
"0.04, 0.07",1,1,0,1,2,5,2700
"0.04, 0.08",1,1,0,1,2,6,2720
"0.04, 0.09",1,1,0,1,2,7,2900
"0.04, 0.10",1,1,0,1,2,8,2840
"0.04, 0.11",1,1,0,1,2,7,3000
"0.04, 0.12",1,1,0,1,2,7,2940
"0.04, 0.13",1,1,0,1,2,6,2860
"0.04, 0.14",1,1,0,1,2,7,2940
"0.04, 0.15",1,1,0,1,2,7,2760
"0.04, 0.16",1,1,0,1,2,8,2900
"0.04, 0.17",1,1,0,1,2,8,2900
