0, 36, 154, 29, 30, 88, 21, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 47, 107, 23, 52, 71, 40, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 23, 143, 72, 20, 63, 42, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 45, 143, 33, 34, 79, 24, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 22, 133, 50, 26, 62, 54, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 22, 138, 52, 21, 76, 42, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 49, 139, 24, 39, 75, 25, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 17, 140, 56, 23, 71, 46, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 22, 160, 35, 26, 75, 21, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 46, 141, 29, 34, 78, 26, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 14, 156, 62, 29, 69, 29, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 46, 140, 18, 34, 78, 31, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 22, 127, 63, 29, 62, 58, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 45, 144, 26, 34, 79, 24, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, 11, 130, 54, 23, 77, 58, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 40, 125, 59, 29, 70, 41, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 26, 136, 49, 31, 64, 42, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
