imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.00, 0.00",1,3,0,0,3,18,1070
"0.00, 0.01",1,3,0,0,3,18,1160
"0.00, 0.02",1,3,0,0,3,18,780
"0.00, 0.03",1,3,0,0,3,18,860
"0.00, 0.04",1,3,0,0,3,19,700
"0.00, 0.05",1,3,0,0,3,19,730
"0.00, 0.06",1,3,0,0,3,18,1400
"0.00, 0.07",1,3,0,0,3,18,880
"0.00, 0.08",1,3,0,0,3,20,960
"0.00, 0.09",1,3,0,0,3,19,1050
"0.00, 0.10",1,2,0,0,3,27,1420
"0.00, 0.11",1,2,0,0,3,27,1290
"0.00, 0.12",1,3,0,0,3,22,840
"0.00, 0.13",1,3,0,0,3,18,1020
"0.00, 0.14",1,3,0,0,3,19,1620
"0.00, 0.15",1,3,0,0,3,18,810
"0.00, 0.16",1,3,0,0,3,18,960
"0.00, 0.17",1,3,0,0,3,22,840
"0.00, 0.18",1,3,0,0,3,19,740
"0.00, 0.19",1,2,0,0,3,38,1310
"0.00, 0.20",1,3,0,0,3,19,700
"0.00, 0.21",1,3,0,0,3,30,890
"0.00, 0.22",1,3,0,0,3,34,770
"0.00, 0.23",1,3,0,0,3,25,1210
"0.00, 0.24",1,2,0,0,3,42,1340
"0.00, 0.25",1,3,0,0,3,37,770
"0.00, 0.26",1,3,0,0,3,37,770
"0.00, 0.27",1,2,0,0,3,33,2240
"0.00, 0.28",1,3,0,0,3,37,770
"0.00, 0.29",1,3,0,0,3,19,700
"0.00, 0.30",1,3,0,0,3,35,710
"0.00, 0.31",1,3,0,0,3,19,690
"0.00, 0.32",1,3,0,0,3,37,770
"0.00, 0.33",1,3,0,0,3,35,710
"0.00, 0.34",1,2,0,0,3,47,1060
"0.00, 0.35",1,3,0,0,3,37,770
"0.00, 0.36",1,2,0,0,3,46,1140
"0.00, 0.37",1,3,0,0,3,18,810
"0.00, 0.38",1,3,0,0,3,37,770
"0.00, 0.39",1,3,0,0,3,37,770
"0.00, 0.40",1,2,0,0,3,41,590
"0.01, 0.00",1,3,0,0,3,18,1010
"0.01, 0.01",1,3,0,0,3,18,850
"0.01, 0.02",1,3,0,0,3,18,880
"0.01, 0.03",1,3,0,0,3,18,880
"0.01, 0.04",1,3,0,0,3,18,890
"0.01, 0.05",1,3,0,0,3,17,880
"0.01, 0.06",1,3,0,0,3,24,1050
"0.01, 0.07",1,3,0,0,3,18,1010
"0.01, 0.08",1,3,0,0,3,22,1190
"0.01, 0.09",1,3,0,0,3,25,760
"0.01, 0.10",1,3,0,0,3,26,760
"0.01, 0.11",1,3,0,0,3,26,760
"0.01, 0.12",1,3,0,0,3,26,760
"0.01, 0.13",1,3,0,0,3,26,760
"0.01, 0.14",1,3,0,0,3,26,760
"0.01, 0.15",1,3,0,0,3,26,760
"0.01, 0.16",1,3,0,0,3,26,760
"0.01, 0.17",1,3,0,0,3,26,760
"0.01, 0.18",1,3,0,0,3,26,760
"0.01, 0.19",1,3,0,0,3,26,760
"0.01, 0.20",1,3,0,0,3,26,760
"0.01, 0.21",1,3,0,0,3,26,760
"0.01, 0.22",1,3,0,0,3,26,760
"0.01, 0.23",1,3,0,0,3,26,760
"0.01, 0.24",1,3,0,0,3,26,760
"0.01, 0.25",1,3,0,0,3,44,800
"0.01, 0.26",1,3,0,0,3,26,760
"0.01, 0.27",1,3,0,0,3,26,760
"0.01, 0.28",1,3,0,0,3,26,760
"0.01, 0.29",1,3,0,0,3,26,760
"0.01, 0.30",1,3,0,0,3,26,760
"0.01, 0.31",1,3,0,0,3,26,760
"0.01, 0.32",1,3,0,0,3,26,760
"0.01, 0.33",1,3,0,0,3,26,760
"0.01, 0.34",1,3,0,0,3,26,760
"0.01, 0.35",1,3,0,0,3,30,760
"0.01, 0.36",1,3,0,0,3,30,760
"0.01, 0.37",1,3,0,0,3,30,760
"0.01, 0.38",1,3,0,0,3,26,760
"0.01, 0.39",1,3,0,0,3,19,860
"0.01, 0.40",1,3,0,0,3,30,760
"0.02, 0.00",1,3,0,0,3,18,800
"0.02, 0.01",1,3,0,0,3,18,850
"0.02, 0.02",1,3,0,0,3,18,830
"0.02, 0.03",1,3,0,0,3,18,850
"0.02, 0.04",1,3,0,0,3,20,830
"0.02, 0.05",1,3,0,0,3,22,1160
"0.02, 0.06",1,3,0,0,3,20,830
"0.02, 0.07",1,3,0,0,3,22,690
"0.02, 0.08",1,3,0,0,3,25,680
"0.02, 0.09",1,2,0,0,3,26,1080
"0.02, 0.10",1,3,0,0,3,20,830
"0.02, 0.11",1,2,0,0,3,28,1180
"0.02, 0.12",1,2,0,0,3,28,1150
"0.02, 0.13",1,3,0,0,3,27,1020
"0.02, 0.14",1,2,0,0,3,34,930
"0.02, 0.15",1,2,0,0,3,32,1170
"0.02, 0.16",1,3,0,0,3,34,950
"0.02, 0.17",1,2,0,0,3,35,1080
"0.02, 0.18",1,2,0,0,3,34,1010
"0.02, 0.19",1,2,0,0,3,35,1040
"0.02, 0.20",1,3,0,0,3,27,700
"0.02, 0.21",1,3,0,0,3,27,700
"0.02, 0.22",1,3,0,0,3,39,830
"0.02, 0.23",1,3,0,0,3,41,750
"0.02, 0.24",1,2,0,0,3,42,810
"0.02, 0.25",1,3,0,0,3,26,1090
"0.02, 0.26",1,2,0,0,3,46,880
"0.02, 0.27",1,3,0,0,3,27,700
"0.02, 0.28",1,2,0,0,3,42,880
"0.02, 0.29",1,3,0,0,3,27,720
"0.02, 0.30",1,3,0,0,3,29,990
"0.02, 0.31",1,2,0,0,3,51,770
"0.02, 0.32",1,2,0,0,3,51,790
"0.02, 0.33",1,3,0,0,3,25,1090
"0.02, 0.34",1,2,0,0,3,56,700
"0.02, 0.35",1,2,0,0,3,53,750
"0.02, 0.36",1,3,0,0,3,21,680
"0.02, 0.37",1,3,0,0,3,28,1040
"0.02, 0.38",1,3,0,0,3,29,1040
"0.02, 0.39",1,3,0,0,3,28,990
"0.02, 0.40",1,2,0,0,3,62,550
"0.03, 0.00",1,3,0,0,3,18,970
"0.03, 0.01",1,3,0,0,3,18,770
"0.03, 0.02",1,3,0,0,3,20,680
"0.03, 0.03",1,3,0,0,3,21,620
"0.03, 0.04",1,3,0,0,3,21,620
"0.03, 0.05",1,3,0,0,3,21,620
"0.03, 0.06",1,3,0,0,3,21,620
"0.03, 0.07",1,3,0,0,3,20,670
"0.03, 0.08",1,2,0,0,3,25,910
"0.03, 0.09",1,3,0,0,3,24,1030
"0.03, 0.10",1,3,0,0,3,20,670
"0.03, 0.11",1,2,0,0,3,28,1160
"0.03, 0.12",1,2,0,0,3,28,920
"0.03, 0.13",1,2,0,0,3,31,1100
"0.03, 0.14",1,2,0,0,3,33,1090
"0.03, 0.15",1,2,0,0,3,34,1080
"0.03, 0.16",1,2,0,0,3,35,1070
"0.03, 0.17",1,2,0,0,3,34,1030
"0.03, 0.18",1,2,0,0,3,35,1080
"0.03, 0.19",1,2,0,0,3,35,1200
"0.03, 0.20",1,2,0,0,3,36,960
"0.03, 0.21",1,2,0,0,3,40,970
"0.03, 0.22",1,2,0,0,3,43,1030
"0.03, 0.23",1,2,0,0,3,40,870
"0.03, 0.24",1,2,0,0,3,41,890
"0.03, 0.25",1,2,0,0,3,43,820
"0.03, 0.26",1,2,0,0,3,42,870
"0.03, 0.27",1,2,0,0,3,46,730
"0.03, 0.28",1,2,0,0,3,47,730
"0.03, 0.29",1,2,0,0,3,48,730
"0.03, 0.30",1,2,0,0,3,47,730
"0.03, 0.31",1,2,0,0,3,52,720
"0.03, 0.32",1,2,0,0,3,52,720
"0.03, 0.33",1,2,0,0,3,52,740
"0.03, 0.34",1,2,0,0,3,53,760
"0.03, 0.35",1,2,0,0,3,60,540
"0.03, 0.36",1,2,0,0,3,60,530
"0.03, 0.37",1,2,0,0,3,60,530
"0.03, 0.38",1,2,0,0,3,60,530
"0.03, 0.39",1,2,0,0,3,60,530
"0.03, 0.40",1,2,0,0,3,60,530
"0.04, 0.00",1,3,0,0,3,18,720
"0.04, 0.01",1,3,0,0,3,18,930
"0.04, 0.02",1,3,0,0,3,21,660
"0.04, 0.03",1,2,0,0,3,21,970
"0.04, 0.04",1,2,0,0,3,20,960
"0.04, 0.05",1,3,0,0,3,20,760
"0.04, 0.06",1,3,0,0,3,20,760
"0.04, 0.07",1,2,0,0,3,21,1000
"0.04, 0.08",1,2,0,0,3,27,1260
"0.04, 0.09",1,3,0,0,3,21,620
"0.04, 0.10",1,3,0,0,3,21,1160
"0.04, 0.11",1,3,0,0,3,27,1050
"0.04, 0.12",1,2,0,0,3,27,1140
"0.04, 0.13",1,2,0,0,3,31,1060
"0.04, 0.14",1,2,0,0,3,31,970
"0.04, 0.15",1,2,0,0,3,33,980
"0.04, 0.16",1,2,0,0,3,32,970
"0.04, 0.17",1,2,0,0,3,37,810
"0.04, 0.18",1,2,0,0,3,37,740
"0.04, 0.19",1,2,0,0,3,38,910
"0.04, 0.20",1,2,0,0,3,39,720
"0.04, 0.21",1,2,0,0,3,38,740
"0.04, 0.22",1,2,0,0,3,41,760
"0.04, 0.23",1,2,0,0,3,43,780
"0.04, 0.24",1,2,0,0,3,42,780
"0.04, 0.25",1,2,0,0,3,42,820
"0.04, 0.26",1,2,0,0,3,46,730
"0.04, 0.27",1,2,0,0,3,43,760
"0.04, 0.28",1,2,0,0,3,47,800
"0.04, 0.29",1,2,0,0,3,47,860
"0.04, 0.30",1,2,0,0,3,48,800
"0.04, 0.31",1,2,0,0,3,50,790
"0.04, 0.32",1,2,0,0,3,51,750
"0.04, 0.33",1,2,0,0,3,52,740
"0.04, 0.34",1,2,0,0,3,56,580
"0.04, 0.35",1,2,0,0,3,50,910
"0.04, 0.36",1,2,0,0,3,54,700
"0.04, 0.37",1,2,0,0,3,60,530
"0.04, 0.38",1,2,0,0,3,60,530
"0.04, 0.39",1,2,0,0,3,60,530
"0.04, 0.40",1,2,0,0,3,60,530
"0.05, 0.00",1,3,0,0,3,18,720
"0.05, 0.01",1,3,0,0,3,18,1080
"0.05, 0.02",1,3,0,0,3,20,760
"0.05, 0.03",1,3,0,0,3,21,760
"0.05, 0.04",1,2,0,0,3,23,1340
"0.05, 0.05",1,3,0,0,3,21,670
"0.05, 0.06",1,3,0,0,3,21,670
"0.05, 0.07",1,3,0,0,3,24,1510
"0.05, 0.08",1,3,0,0,3,22,620
"0.05, 0.09",1,3,0,0,3,25,1210
"0.05, 0.10",1,3,0,0,3,22,620
"0.05, 0.11",1,3,0,0,3,28,640
"0.05, 0.12",1,3,0,0,3,20,1470
"0.05, 0.13",1,2,0,0,3,30,1220
"0.05, 0.14",1,2,0,0,3,32,1000
"0.05, 0.15",1,3,0,0,3,30,1690
"0.05, 0.16",1,2,0,0,3,34,1140
"0.05, 0.17",1,3,0,0,3,33,1740
"0.05, 0.18",1,2,0,0,3,34,1170
"0.05, 0.19",1,2,0,0,3,36,910
"0.05, 0.20",1,2,0,0,3,38,720
"0.05, 0.21",1,2,0,0,3,37,830
"0.05, 0.22",1,2,0,0,3,34,1100
"0.05, 0.23",1,2,0,0,3,40,780
"0.05, 0.24",1,2,0,0,3,42,730
"0.05, 0.25",1,2,0,0,3,42,780
"0.05, 0.26",1,2,0,0,3,44,700
"0.05, 0.27",1,2,0,0,3,45,690
"0.05, 0.28",1,2,0,0,3,46,700
"0.05, 0.29",1,2,0,0,3,47,810
"0.05, 0.30",1,2,0,0,3,49,800
"0.05, 0.31",1,2,0,0,3,53,640
"0.05, 0.32",1,2,0,0,3,51,750
"0.05, 0.33",1,2,0,0,3,51,750
"0.05, 0.34",1,2,0,0,3,54,610
"0.05, 0.35",1,2,0,0,3,54,640
"0.05, 0.36",1,2,0,0,3,55,630
"0.05, 0.37",1,2,0,0,3,56,580
"0.05, 0.38",1,2,0,0,3,60,530
"0.05, 0.39",1,2,0,0,3,60,530
"0.05, 0.40",1,2,0,0,3,60,530
"0.06, 0.00",1,3,0,0,3,18,720
"0.06, 0.01",1,3,0,0,3,18,800
"0.06, 0.02",1,3,0,0,3,20,760
"0.06, 0.03",1,3,0,0,3,21,760
"0.06, 0.04",1,3,0,0,3,21,940
"0.06, 0.05",1,3,0,0,3,21,690
"0.06, 0.06",1,3,0,0,3,22,620
"0.06, 0.07",1,3,0,0,3,24,850
"0.06, 0.08",1,3,0,0,3,21,830
"0.06, 0.09",1,3,0,0,3,22,1740
"0.06, 0.10",1,2,0,0,3,26,650
"0.06, 0.11",1,3,0,0,3,21,1510
"0.06, 0.12",1,3,0,0,3,27,970
"0.06, 0.13",1,3,0,0,3,27,950
"0.06, 0.14",1,3,0,0,3,27,1110
"0.06, 0.15",1,2,0,0,3,33,900
"0.06, 0.16",1,2,0,0,3,31,970
"0.06, 0.17",1,3,0,0,3,33,1400
"0.06, 0.18",1,2,0,0,3,36,870
"0.06, 0.19",1,3,0,0,3,24,810
"0.06, 0.20",1,2,0,0,3,38,720
"0.06, 0.21",1,2,0,0,3,38,720
"0.06, 0.22",1,2,0,0,3,38,720
"0.06, 0.23",1,2,0,0,3,38,620
"0.06, 0.24",1,2,0,0,3,42,610
"0.06, 0.25",1,2,0,0,3,42,610
"0.06, 0.26",1,2,0,0,3,42,610
"0.06, 0.27",1,2,0,0,3,42,610
"0.06, 0.28",1,2,0,0,3,42,610
"0.06, 0.29",1,2,0,0,3,48,660
"0.06, 0.30",1,2,0,0,3,50,680
"0.06, 0.31",1,2,0,0,3,50,650
"0.06, 0.32",1,2,0,0,3,51,680
"0.06, 0.33",1,2,0,0,3,51,750
"0.06, 0.34",1,2,0,0,3,51,1210
"0.06, 0.35",1,2,0,0,3,54,640
"0.06, 0.36",1,3,0,0,3,54,1200
"0.06, 0.37",1,2,0,0,3,55,630
"0.06, 0.38",1,2,0,0,3,56,580
"0.06, 0.39",1,2,0,0,3,60,530
"0.06, 0.40",1,2,0,0,3,60,530
"0.07, 0.00",1,3,0,0,3,18,720
"0.07, 0.01",1,3,0,0,3,18,790
"0.07, 0.02",1,3,0,0,3,20,760
